Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type,Listening Time (Morning/Afternoon/Night),Discover Weekly Engagement (%),Repeat Song Rate (%)
13,Japan,Tidal,Rock,46,477,Billie Eilish,Premium,Morning,86.57,13.74
16,UK,Deezer,Rock,486,230,Ed Sheeran,Free,Night,69.01,31.48
28,Japan,Spotify,Reggae,600,453,Bad Bunny,Free,Morning,66.37,52.7
55,UK,Tidal,Jazz,453,132,BTS,Free,Afternoon,48.41,36.58
49,USA,Amazon Music,Jazz,454,34,Billie Eilish,Free,Afternoon,86.82,47.2
19,Australia,Tidal,EDM,37,101,BTS,Premium,Night,28.15,24.79
49,Canada,Spotify,Jazz,222,379,BTS,Premium,Afternoon,41.69,45.48
49,Canada,Apple Music,Hip-Hop,336,442,The Weeknd,Free,Night,36.89,44.02
56,Canada,Deezer,R&B,381,435,Ed Sheeran,Free,Night,51.18,52.89
37,Germany,Deezer,Rock,268,351,Post Malone,Free,Morning,38.59,47.85
14,UK,Spotify,Classical,268,312,Drake,Premium,Night,32.64,78.32
14,Canada,Tidal,R&B,265,427,Taylor Swift,Premium,Night,81.56,10.45
35,Germany,YouTube,Jazz,349,298,Adele,Free,Night,41.72,15.12
34,Canada,Spotify,Rock,58,321,The Weeknd,Free,Afternoon,51.8,11.6
23,Germany,YouTube,Classical,21,165,Ed Sheeran,Free,Night,60.36,78.44
41,UK,Apple Music,EDM,83,472,Dua Lipa,Free,Afternoon,83.46,30.17
14,UK,Spotify,Classical,14,409,Adele,Free,Night,29.14,26.26
21,India,Amazon Music,Classical,287,238,Bad Bunny,Free,Night,34.72,70.31
26,Japan,Apple Music,Rock,390,105,Drake,Free,Morning,68.55,67.14
17,France,Amazon Music,Classical,289,303,BTS,Premium,Afternoon,21.52,14.9
22,UK,Amazon Music,Pop,106,198,Taylor Swift,Premium,Morning,12.3,60.13
37,Japan,Spotify,Rock,189,487,Drake,Free,Afternoon,88.27,25.63
55,South Korea,Spotify,Reggae,427,499,BTS,Free,Morning,25.39,43.0
39,India,Amazon Music,Pop,135,290,Post Malone,Free,Night,33.4,32.22
57,USA,YouTube,Reggae,322,167,Drake,Free,Afternoon,45.65,31.49
34,Brazil,Apple Music,EDM,125,39,The Weeknd,Premium,Morning,44.42,24.18
22,India,Apple Music,Country,198,115,Billie Eilish,Premium,Night,34.66,41.7
57,Brazil,Apple Music,Rock,184,9,Ed Sheeran,Free,Morning,41.81,58.6
13,France,YouTube,Country,521,348,Ed Sheeran,Premium,Morning,76.18,36.18
34,Germany,Spotify,EDM,218,290,BTS,Free,Morning,36.39,36.28
59,USA,Apple Music,Country,597,421,Adele,Free,Morning,34.37,69.69
58,Australia,Deezer,Hip-Hop,62,460,Taylor Swift,Premium,Night,61.88,44.78
43,UK,Apple Music,Reggae,98,213,Adele,Free,Night,29.05,75.8
34,USA,Spotify,Pop,119,229,Taylor Swift,Premium,Morning,40.7,57.62
41,UK,Spotify,Pop,538,108,Bad Bunny,Premium,Morning,49.17,13.63
19,UK,Amazon Music,Metal,249,269,Ed Sheeran,Premium,Morning,28.19,68.83
51,Germany,Amazon Music,Rock,85,65,Drake,Premium,Morning,80.34,38.79
